INDTITLE,IND_2000
"Ammunition belts, sports type (mfg.)",397
"Ammunition boxes, metal (mfg.)",287
"Ammunition boxes, wood (mfg.)",387
Ammunition cartridge cases (mfg.),297
Ammunition fuses (mfg.),297
Ammunition loading and assembling plant (mfg.),297
"Ammunition, exc. small arms (mfg.)",297
"Ammunition, small arms (mfg.)",297
Ampere-hour meters (mfg.),338
Amphibian motor vehicles (mfg.),357
Amplifiers for missile application (mfg.),338
"Amplifiers, musical instrument (mfg.)",337
"Amplifiers, public address (mfg.)",337
"Amplifiers, radio (mfg.)",337
Amtrak GOV,608
Amusement arcades,859
Amusement device parlor,859
"Amusement equipment, carnival (mfg.)",309
Amusement goods (whsl.),429
"Amusement machines, carnival (mfg.)",309
"Amusement machines, coin operated phonograph (mfg.)",337
"Amusement machines, coin operated, exc. phonograph (mfg.)",398
Amusement park,859
Amusement park equipment (mfg.),309
Amusement park equipment (whsl.),427
Amusement parlor,859
Amusement pier,859
"Amusement rides, concession",859
Amway products (ret.),569
Analgesics (mfg.),219
Analog computers (mfg.),336
"Analyzers, electrical (mfg.)",338
Anchors (mfg.),278
Andalusite (ext.),047
Andirons (mfg.),298
Anesthesia apparatus (mfg.),396
Anesthesiology,797
Anesthetics (mfg.),219
Anhydrous butterfat (mfg.),117
Aniline (mfg.),229
Aniline oil (mfg.),229
Animal breeding,029
Animal cemetery operation,908
Animal clinic,748
"Animal clippers, electric (mfg.)",307
"Animal clippers, exc. electric (mfg.)",279
Animal exhibits,857
Animal feeds (mfg.),107
Animal feeds (whsl.),457
Animal fiber yarn (mfg.),147
Animal grooming,909
Animal hospital,748
Animal humane societies,917
Animal husbandry services,029
Animal remedies (mfg.),219
Animal rescue,917
Animal rights organizations,917
Animal shelter,909
Animal training,909
Animal trapping,028
"Animal traps, including wire (mfg.)",298
Animal welfare associations or leagues,917
"Animals, stuffed, toy (mfg.)",397
Animated cartoons,657
Ankle supports (mfg.),396
Anklets (mfg.),167
Annealing boxes (mfg.),287
Annealing covers (mfg.),287
Annealing pots (mfg.),287
Annealing steel (mfg.),289
"Announcements, engraved (mfg.)",199
Annuity savings institution,688
Anodizing (mfg.),289
Anodizing equipment (mfg.),319
"Answering machines, telephone (mfg.)",337
"Answering machines, telephone (whsl.)",419
Ant poisons (mfg.),218
Antacids (mfg.),219
Antenna (mfg.),337
Antenna moving (const.),077
Antenna sales and installation (ret.),479
Anthophyllite (ext.),047
Anthracite (ext.),038
Anthracite breaker (ext.),038
Anthracite colliery (ext.),038
Anthracite stripping (ext.),038
Anthracite washery (ext.),038
Anti-freeze compounds (mfg.),229
Anti-poverty board,837
"Antiaircraft directors, electronic (mfg.)",338
"Antiaircraft directors, exc. electronic (mfg.)",297
Antibiotics (mfg.),219
Antihistamine preparations (mfg.),219
Antimony (ext.),039
Antique furniture (mfg.),389
Antique furniture (ret.),549
Antique furniture restoration,888
Antique mending,888
Antique shop (ret.),549
Antique store (ret.),549
Antiseptics (mfg.),219
Antiseptics (whsl.),438
Antiserums (mfg.),219
Antitoxins (mfg.),219
Antivenom (mfg.),219
Anvils (mfg.),278
Apartment building,707
Apartment building (const.),077
Apartment building operation,707
Apartment hotel,707
Apartment hotel operation,707
Apartment house,707
Apartment locators,707
Apartments,707
"Apiarists' supplies, exc. wooden (mfg.)",398
"Apiarists' supplies, wooden (mfg.)",387
Apiary,018
Apothecary (ret.),507
Apparel (ret.),517
Apparel (whsl.),439
Apparel accessories (ret.),517
Apparel webbing (mfg.),148
"Apparel, exc. knit (mfg.)",168
"Apparel, knit (mfg.)",167
"Apparel, used clothing (ret.)",549
Apple butter (mfg.),109
Apple orchard,017
Applejack (mfg.),137
Appliance cords (mfg.),349
Appliances \ n.s. (ret.),478
Appliances \ n.s. (whsl.),419
"Appliances, electric (ret.)",478
"Appliances, electrical, household (mfg.)",347
"Appliances, gas dryers (whsl.)",419
"Appliances, gas, exc. dryers (whsl.)",426
"Appliances, household-type, exc. gas (whsl.)",419
"Appliances, household-type, used (ret.)",549
Appliqueing for the trade (mfg.),159
Appliqueing on apparel,168
"Appraisers, exc. real estate or insurance",749
"Appraisers, insurance",699
"Appraisers, real estate",707
Apron supply service,907
Aprons \ any not listed (mfg.),168
"Aprons, leather (mfg.)",179
"Aprons, waterproof",169
Aptitude testing,746
Aquarium,857
"Aquarium accessories, plastic (mfg.)",237
"Aquariums, glass (mfg.)",249
Aqueduct (const.),077
Aqueduct operation,067
Arbitration service,749
Arbor presses (mfg.),317
Arboretum,857
Arborist services,777
"Arc lamps, electrotherapeutic (mfg.)",338
Arc lighting fixtures (mfg.),349
"Arc welders, electric (mfg.)",319
Arcade amusement,859
Arch supports (mfg.),396
Arch tile (mfg.),248
Archeological expeditions,746
"Archeological sites (i.e., public display)",857
Archeologist's office,746
Archery equipment (mfg.),397
"Arches, wood (mfg.)",378
Architect's office,729
"Architect's offices, landscape",729
Architect's supplies (whsl.),417
Architects and engineering,729
Architectural engineering,729
Architectural lumber (mfg.),387
Architectural metal work (mfg.),287
Architectural school,787
Architectural service,729
"Architectural services, landscape",729
Architectural supplies (ret.),558
Architectural terra cotta (mfg.),248
Architectural tile (mfg.),248
Archives,677
Argillite (ext.),047
Armature rewinding shop,887
Armatures (mfg.),349
Armbands (mfg.),169
Armed Forces of Foreign Countries,959
"Armored cable, alumminum (mfg.)",268
"Armored cable, copper (mfg.)",269
"Armored cable, ferrous (mfg.)",267
Armored car service,768
Armored cars (mfg.),357
Armored motor service,768
Armory \ n.s.,959
Army and navy store (ret.),539
Army surplus (ret.),539
Arrows (mfg.),397
Art dealer (ret.),558
Art exibits,856
Art gallery (ret.),558
"Art gallery, exc. retail",857
Art glass (mfg.),249
Art goods (ret.),558
Art goods (whsl.),458
"Art goods, stamped for embroidering (mfg.)",397
Art institute,788
"Art marble, concrete (mfg.)",257
"Art marble, exc. concrete (mfg.)",259
Art museum,857
Art needlework (mfg.),168
"Art needlework, exc. apparel (mfg.)",159
Art pottery (mfg.),247
Art school,788
Art squares (mfg.),157
Art store (ret.),558
"Art studio, commercial",737
"Art studio, exc. commercial",856
"Art studio, medical",737
Art supplies (ret.),558
Art supplies (whsl.),458
Artesian wells (const.),077
"Artichokes, bottled (mfg.)",109
Artificial Christmas trees (mfg.),398
Artificial bait (mfg.),397
Artificial breeding,029
Artificial eyelashes (mfg.),398
Artificial eyes (mfg.),396
Artificial feathers (mfg.),398
Artificial flowers (ret.),558
Artificial flowers (whsl.),458
"Artificial flowers, exc. glass (mfg.)",398
"Artificial flowers, glass (mfg.)",249
"Artificial foliage, exc. glass (mfg.)",398
"Artificial foliage, glass (mfg.)",249
"Artificial fruits, exc. glass (mfg.)",398
"Artificial fruits, glass (mfg.)",249
"Artificial grafts, surgical (mfg.)",396
"Artificial grass, exc. glass (mfg.)",398
"Artificial grass, glass (mfg.)",249
Artificial hair (mfg.),398
Artificial insemination,029
Artificial leather (mfg.),149
Artificial limb store (ret.),508
Artificial limbs (mfg.),396
Artificial nucleation,749
Artificial pearls (mfg.),398
Artificial sausage casings (mfg.),237
"Artificial stems, exc. glass (mfg.)",398
"Artificial stems, glass (mfg.)",249
Artificial stone (mfg.),257
Artificial teeth (mfg.),396
Artificial tree (mfg.),398
"Artificial vines, exc. glass (mfg.)",398
"Artificial vines, glass (mfg.)",249
Artificial wreaths (mfg.),398
"Artist supplies, except paper (mfg.)",398
"Artist, medical",737
Artists' brushes (mfg.),398
Artists' materials (mfg.),398
Artists' maulsticks (mfg.),398
"Artists' studio, commercial",737
"Artists' studio, exc. commercial",856
"Artists' studio, medical",737
Artists' supplies (ret.),558
Artists' supplies (whsl.),458
Arts and crafts supplies (ret.),527
Arts and crafts supplies (whsl.),429
Asbestos (ext.),047
Asbestos removal (const.),779
Ash disposal and removal,779
Ash removal contractors,779
"Ash trays, glass (mfg.)",249
"Ash trays, pottery (mfg.)",247
"Ash trays, stamped metal (mfg.)",278
"Ash trays, wire (mfg.)",298
Ashlar (mfg.),257
Asphalt (ext.),047
Asphalt (mfg.),207
Asphalt brick siding (mfg.),209
Asphalt floor tile (mfg.),259
Asphalt paint (mfg.),227
Asphalt paving blocks (mfg.),209
"Asphalt paving, roads (const.)",077
"Asphalt paving, sidewalks (const.)",077
"Asphalt paving, streets (const.)",077
Asphalt products (mfg.),209
Asphalt roofing (mfg.),209
Asphalt roofing (whsl.),409
Asphalted-felt-base floor covering (mfg.),237
Asphaltic concrete (mfg.),209
Asphalting private driveways (const.),077
Asphalting private parking areas (const.),077
Assay office,729
Assaying service,729
Assembly hall furniture (mfg.),389
"Assisted living facilities, with nursing care",827
"Assisted living facilities, without nursing care",829
Associated Press,678
Association for Retarded Citizens,917
Association for Senior Citizens,917
Association for the Blind,917
Association of American Railroads,919
"Associations for retired persons, advocacy",917
Assurance co.,699
Astringent (mfg.),219
Astro-turf (mfg.),237
Astrologer's office,909
Athletic Association,919
"Athletic clothing, exc. knit (mfg.)",168
"Athletic clothing, knit (mfg.)",167
Athletic club,859
"Athletic equipment, clothing, exc. knit (mfg.)",168
"Athletic equipment, clothing, knit (mfg.)",167
"Athletic equipment, exc. clothing (mfg.)",397
"Athletic field, exc. school",856
"Athletic field, school",786
Athletic goods (ret.),527
Athletic goods (whsl.),429
"Athletic goods, clothing, exc. knit (mfg.)",168
"Athletic goods, clothing, knit (mfg.)",167
"Athletic goods, exc. clothing (mfg.)",397
Athletic guards (mfg.),397
Athletic masks (mfg.),397
"Athletic shoe, exc. bowling, golf, spiked (ret.)",518
"Athletic shoe, specialty sports, bowling, golf, spiked (ret.)",527
Athletic shoes (mfg.),177
Athletic uniforms (ret.),527
Athletic uniforms (whsl.),429
"Atlases, printing without publishing (mfg.)",199
"Atlases, publishing",648
Atom smashers (mfg.),349
Atomic waste casks (mfg.),287
"Atomizers, exc. medical (mfg.)",398
"Atomizers, medical (mfg.)",396
Attenuators (mfg.),339
Attic fans (mfg.),319
Attorney's office,727
Auction (ret.),558
Auction house (ret.),558
Auction room (ret.),558
Auctioneer's office,778
"Auctioneer, livestock (whsl.)",448
"Audio equipment, automotive (ret.)",469
"Audio equipment, exc. automotive (ret.)",479
"Audio equipment, household-type (whsl.)",419
Audio frequency oscillators (mfg.),338
"Audio range tapes, blank (mfg.)",339
Audio store (ret.),479
"Audio tapes, blank (whsl.)",419
"Audio tapes, pre-recorded (whsl.)",429
Audio visual program production,657
Audiologists' offices or clinics,808
Audiometers (mfg.),338
Auditing service,728
"Augers, exc. mining equipment (mfg.)",279
"Augers, mining equipment (mfg.)",308
Auriscopes (mfg.),396
Author's studio,856
Auto Adjustment Bureau,699
"Auto Association, exc. road and travel services",917
Auto Detective Bureau,768
Auto Owners' Association,917
Auto \ n.s. (mfg.),357
Auto \ n.s. (ret.),467
Auto \ n.s. (whsl.),407
Auto accessories (whsl.),407
Auto accessories \ n.s. (mfg.),357
"Auto accessories, new (ret.)",469
"Auto accessories, secondhand (ret.)",469
Auto agency (ret.),467
Auto agency (whsl.),407
Auto air bags (mfg.),357
Auto air conditioners (mfg.),357
Auto air conditioners (ret.),469
Auto air filters (mfg.),357
Auto alignment service,877
Auto artistic commercial painting,877
Auto assembly (mfg.),357
"Auto association, providing road and travel services",767
Auto auction (ret.),467
Auto auction (whsl.),407
Auto axle straightening,877
Auto axles (mfg.),357
Auto battery (mfg.),349
Auto battery (whsl.),407
Auto battery dealer (ret.),469
Auto battery service,877
Auto bearings (mfg.),357
"Auto belts, fans, steering, etc. (mfg.)",239
Auto bodies (mfg.),357
"Auto body parts, metal (mfg.)",357
Auto body shop,877
Auto body shop supplies (whsl.),407
Auto brake drums (mfg.),357
Auto brake repair,877
Auto brakes (mfg.),357
Auto bumpers (mfg.),357
Auto bumpers rechroming,877
Auto burglar alarm (mfg.),337
"Auto burglar alarm, installation, exc. sales",877
"Auto burglar alarm, sales (ret.)",469
"Auto burglar alarm, sales and installation (ret.)",469
Auto camp,867
Auto camshafts (mfg.),357
Auto casualty insurance co.,699
Auto chains (mfg.),298
Auto clinic,877
"Auto club, exc. road and travel services",917
"Auto club, insurance",699
"Auto club, providing road and travel services",767
Auto clutches (mfg.),318
Auto court,866
Auto covers (mfg.),357
Auto crankshafts (mfg.),357
Auto customizing,877
Auto dead storage,639
Auto dealer (ret.),467
Auto dealer (whsl.),407
Auto dealer \ n.s. (ret.),467
